ID,Group,time,PCB_1,PCB_4,PCB_6,PCB_8,PCB_10,PCB_16,PCB_17,PCB_18+30,PCB_19,PCB_20+28,PCB_21+33,PCB_22,PCB_25,PCB_26+29,PCB_27,PCB_31,PCB_32,PCB_34,PCB_40+71,PCB_42,PCB_43,PCB_44+47+65,PCB_46,PCB_48,PCB_49+69,PCB_50+53,PCB_52,PCB_54,PCB_56,PCB_59+62+75,PCB_60,PCB_61+70+74+76,PCB_63,PCB_64,PCB_66
AVL_S,Control,3,10.71545553,17.52387062,0.896832551,2.660454404,1.80517403,0.152853123,1.475421133,0.538069426,2.573719654,0.633552827,0.107218072,0.107364178,0.20194216,0.254838295,0.563184179,0.474996819,0.686224696,0.024896083,0.156214653,0.091535989,0.045562938,0.501092309,0.04142048,0.067802967,0.296257458,0.184798401,0.701252765,0.025229761,0.064203265,0.036259387,0.0299575,0.52251946,0.018195108,0.123657102,0.183818354
AVL_S,Control,3,11.42029078,18.80815751,0.963384634,2.8609543,1.912308362,0.16126611,1.588662071,0.564350936,2.840292009,0.675476536,0.108657341,0.109267264,0.218494592,0.268737156,0.621937235,0.504998559,0.74215079,0.027835475,0.16318269,0.095386085,0.049020921,0.533091538,0.043109762,0.0701856,0.310301916,0.211405218,0.713946204,0.029905825,0.064634216,0.041851145,0.031147432,0.525941189,0.018401291,0.127330495,0.187755237
AVL_S,Control,3,15.69306417,28.66696194,1.507575012,4.49928092,2.85788494,0.23580159,2.499657204,0.880651815,4.217208316,1.065920218,0.147750893,0.160486245,0.3468573,0.424604805,0.946097482,0.782544325,1.128340546,0.042677084,0.241158644,0.148112906,0.08145682,0.770144276,0.064844151,0.106005801,0.469368595,0.334958039,0.954552648,0.045778277,0.080856054,0.058809733,0.037695149,0.608636871,0.027109937,0.179309259,0.252197812
AVL_S,Control,11,18.24496194,68.34312702,3.217520112,9.016993124,6.564441383,0.652223648,6.512274408,2.310708065,12.24701264,2.557919254,0.32085362,0.36886272,0.856299417,1.083022105,2.659285734,1.795357925,3.172045781,0.103219506,0.574847738,0.353373845,0.192096653,1.923547652,0.185351949,0.24745348,1.132387496,0.905169481,2.10940329,0.126990156,0.157628027,0.149222132,0.062955614,1.136678328,0.060925184,0.382917833,0.504883182
AVL_S,Control,11,25.60902753,85.61073682,4.453443111,12.84442801,8.487291421,0.745226003,8.004968283,2.823937909,13.61040686,3.341582224,0.406962329,0.477666449,1.093422328,1.363722306,3.060896455,2.365570436,3.654486111,0.134678424,0.731813925,0.445648986,0.219933064,2.327357962,0.200442874,0.290896283,1.286249942,1.015867743,2.327404384,0.137695156,0.171807808,0.177083928,0.072493346,1.261358609,0.070529162,0.464031636,0.541992951
AVL_S,Control,11,24.81803645,80.75335485,4.357833288,12.37997973,8.066138098,0.790742456,8.213292986,2.937009718,13.48740213,3.367668675,0.41998975,0.481292985,1.084906142,1.426498557,3.054130053,2.475803999,3.810262657,0.133965366,0.702989477,0.402290808,0.233779394,2.234694613,0.2082257,0.31757409,1.383354772,1.078801916,2.442849107,0.145139177,0.177812996,0.167592359,0.073255821,1.291263202,0.076894921,0.457238817,0.578253275
AVL_S,Control,16,21.17263951,94.41036703,4.845066718,13.12717883,9.367855018,0.92501884,10.10251834,3.565422158,18.27270077,3.902893291,0.436406913,0.54725736,1.297792667,1.648723538,3.873602938,2.826908443,4.563367204,0.16263919,0.774687341,0.459778469,0.265253083,2.442290605,0.244720505,0.351409211,1.503456711,1.271820648,2.579623271,0.177005235,0.168324874,0.188004313,0.063541571,1.114548517,0.083114294,0.476478042,0.55081448
AVL_S,Control,16,21.53344237,99.848727,5.141802145,14.20696296,10.01073413,1.097264895,11.70624835,4.014299808,19.72905231,4.614929878,0.513681576,0.623901071,1.653224458,2.168592781,4.723619414,3.397020095,5.434010519,0.203942337,1.034161163,0.642113797,0.340879674,3.347133649,0.325537892,0.437214916,2.266041232,1.678535808,3.30690823,0.23165744,0.205382618,0.287142559,0.072897222,1.371070391,0.106565281,0.593208971,0.727158755
AVL_S,Control,16,16.89260049,80.21678653,3.723540948,10.22631376,7.995061508,0.884923977,9.176352205,3.069300307,17.01248782,3.557587069,0.387816795,0.46061334,1.206319081,1.528479797,3.855770968,2.503784095,4.500100413,0.154497237,0.854661198,0.507267434,0.273857526,2.66877274,0.271168409,0.345690956,1.655939469,1.339126357,2.638839194,0.188697726,0.164365778,0.215363848,0.056894944,1.098070612,0.083597837,0.496976078,0.574478289
AVL_S,Control,35,16.67094004,111.436057,5.509536362,16.02501978,11.68845211,1.844427683,21.15774423,6.160064281,34.78082586,10.3242041,0.815519549,1.130613121,3.955133964,4.547758033,9.503117867,6.649757347,11.0233677,0.417139229,2.879774544,1.850034988,0.850197286,8.813215418,0.758998115,0.999047209,5.625504168,3.815491622,7.663947505,0.491876674,0.546107824,0.707334876,0.121592716,3.509424697,0.26786119,1.546491379,2.156228748
