"","time","mf","mpuf"
"1",0,0,0
"2",1,0.139784443149535,11.6004714131711
"3",2,0.217110027035763,23.2248392207933
"4",3,0.25925775515135,34.7956616332034
"5",4,0.281948303715015,46.3132634995132
"6",5,0.293878304355506,57.7779328719121
"7",6,0.299858366532443,69.1899369474791
"8",7,0.30254979848773,80.5495308933721
"9",8,0.303424778270213,91.8569627282351
"10",9,0.303297786771409,103.112476026208
"11",10,0.302619236585481,114.316311413211
"12",11,0.30163836953171,125.468707399275
"13",12,0.300493123400051,136.569900839961
"14",13,0.29925959705785,147.620127192572
"15",14,0.297980069931465,158.619620663429
"16",15,0.296677841874305,169.568614288192
"17",16,0.295365716699675,180.467339979874
"18",17,0.294050836696431,191.316028558306
"19",18,0.292737204828638,202.11490976783
"20",19,0.29142693330739,212.864212288509
"21",20,0.290121163884077,223.564163745634
"22",21,0.288820548957981,234.214990716996
"23",22,0.287525465124319,244.816918738767
"24",23,0.286236095628401,255.37017231069
"25",24,0.284952506483333,265.874974901225
"26",25,0.283674720651415,276.331548952652
"27",26,0.282402751828634,286.740115885956
"28",27,0.281136601458814,297.1008961055
"29",28,0.279876253426702,307.414109003665
"30",29,0.278621682232922,317.67997296554
"31",30,0.277372863448879,327.898705373593
"32",31,0.27612977517269,338.070522612293
"33",32,0.274892393983836,348.195640072651
"34",33,0.273660693556094,358.274272156943
"35",34,0.272434647131938,368.306632283166
"36",35,0.271214228681913,378.292932889248
"37",36,0.269999412855839,388.233385447076
"38",37,0.268790174345311,398.128200407092
"39",38,0.26758648763532,407.977587258029
"40",39,0.266388327230402,417.781754538252
"41",40,0.265195667700206,427.540909901347
