"","time","mf","mpuf"
"1",0,0,0
"2",1,0.0336127031814048,0.674782502171334
"3",2,0.0566767845300215,1.33284780974217
"4",3,0.0722595156039778,1.97424826498579
"5",4,0.0825377517982594,2.59940513519361
"6",5,0.0890631482036771,3.20872906333905
"7",6,0.0929384334665824,3.80262030576122
"8",7,0.0949482008236825,4.38146900289538
"9",8,0.0956489934915093,4.94565543054723
"10",9,0.0954373740465311,5.4955502518057
"11",10,0.0945946616277907,6.0315147596713
"12",11,0.0933200662178081,6.55390111315777
"13",12,0.0917553132034911,7.06305256882452
"14",13,0.0900009906040148,7.55930370591507
"15",14,0.0881281072040435,8.0429806455881
"16",15,0.0861865104770133,8.5144012644484
"17",16,0.0842112928213415,8.97387540295242
"18",17,0.0822272082956829,9.42170506904439
"19",18,0.080251524219022,9.85818463615645
"20",19,0.0782961532954117,10.2836010359256
"21",20,0.0763691059341672,10.6982339461913
"22",21,0.0744757100333347,11.1023559744791
"23",22,0.0726194426367049,11.4962328368526
"24",23,0.070802472801602,11.8801235321306
"25",24,0.0690260174606805,12.2542805116432
"26",25,0.0672906108814139,12.6189498447291
"27",26,0.0655963185321168,12.9743713800907
"28",27,0.0639428916521154,13.3207789030707
"29",28,0.0623298661877104,13.6584002889329
"30",29,0.0607566262720799,13.9874576522592
"31",30,0.0592224518801631,14.3081674925783
"32",31,0.0577265573023176,14.6207408363182
"33",32,0.0562681187645264,14.9253833751515
"34",33,0.0548462934940495,15.2222956008753
"35",34,0.0534602299230475,15.5116729377667
"36",35,0.0521090768792096,15.7937058754366
"37",36,0.0507919893583886,16.0685800843386
"38",37,0.0495081322137002,16.3364765336866
"39",38,0.0482566838033103,16.5975716170116
"40",39,0.047036838073302,16.8520372622567
"41",40,0.0458478058482156,17.1000410552615
