"","time","mf","mpuf"
"1",0,0,0
"2",1,0.139784579353326,11.6004822119788
"3",2,0.21711036098214,23.2248710211023
"4",3,0.25925831915522,34.7957244712557
"5",4,0.281949114569521,46.3133673197955
"6",5,0.293879370267153,57.7780875278556
"7",6,0.299859690965912,69.1901522021241
"8",7,0.302551382292115,80.5498164200116
"9",8,0.303426620854014,91.8573281110445
"10",9,0.303299886753812,103.112930760866
"11",10,0.302621592158982,114.316864907514
"12",11,0.301640978654671,125.469368973746
"13",12,0.300495983916199,136.570679728453
"14",13,0.299262706746168,147.621032542868
"15",14,0.297983426549285,158.620661537838
"16",15,0.296681443170879,169.569799664143
"17",16,0.29536956042729,180.468678750501
"18",17,0.294054920612016,191.317529533036
"19",18,0.292741526704008,202.116581672962
"20",19,0.291431490929909,212.866063767792
"21",20,0.290125955053548,223.566203360843
"22",21,0.28882557148678,234.2172269485
"23",22,0.28753071683971,244.819359986097
"24",23,0.286241574373943,255.372826893102
"25",24,0.284958210118006,265.877851058261
"26",25,0.283680647048449,276.334654844695
"27",26,0.28240889887551,286.743459594785
"28",27,0.281142967057848,297.104485634839
"29",28,0.279882835495149,307.417952279729
"30",29,0.27862847870257,317.684077837577
"31",30,0.277379872265753,327.903079614425
"32",31,0.276136994297074,338.075173918854
"33",32,0.274899821390355,348.200576066515
"34",33,0.273668327233601,358.279500384859
"35",34,0.272442485083341,368.312160217581
"36",35,0.271222268924079,378.29876792883
"37",36,0.270007653419531,388.239534917234
"38",37,0.268798613275122,398.134671560511
"39",38,0.267595122989579,407.984387275193
"40",39,0.266397157081087,417.788890527933
"41",40,0.265204690132862,427.548388901081
