"","time","mf","mpuf"
"1",0,0,0
"2",1,0.0564134785223199,0.686702442572277
"3",2,0.102436326616444,1.36996143672271
"4",3,0.139925410622925,2.04939280690349
"5",4,0.170406544898523,2.72501792131491
"6",5,0.195132775778265,3.39685802895509
"7",6,0.215134711480271,4.06493426027737
"8",7,0.231257682746262,4.72926762764156
"9",8,0.244195672199736,5.38987902612285
"10",9,0.254519352873407,6.04678923418825
"11",10,0.262697899816647,6.70001891431506
"12",11,0.26911642319658,7.34958861361236
"13",12,0.274090839969772,7.99551876447238
"14",13,0.277880572647372,8.63782968522693
"15",14,0.280698871559396,9.27654158078711
"16",15,0.282720984200268,9.9116745432693
"17",16,0.284090792702341,10.5432485526204
"18",17,0.284926397892359,11.1712834772457
"19",18,0.285324796905123,11.7957990746345
"20",19,0.285365691673684,12.4168149919794
"21",20,0.285114555299809,13.0343507667914
"22",21,0.284625143585654,13.6484258275107
"23",22,0.283941587912986,14.2590594941165
"24",23,0.283100130200542,14.8662709787327
"25",24,0.282130538526697,15.4700793862303
"26",25,0.281057257663783,16.0705037148256
"27",26,0.279900354180514,16.6675628566759
"28",27,0.278676299255227,17.2612755984711
"29",28,0.277398614265098,17.8516606220232
"30",29,0.276078398657322,18.4387365048511
"31",30,0.274724761186616,19.0225217207636
"32",31,0.273345174455929,19.6030346404375
"33",32,0.271945767509466,20.180293531994
"34",33,0.270531566547391,20.7543165615709
"35",34,0.269106692069547,21.3251217938922
"36",35,0.267674520371021,21.8927271928338
"37",36,0.266237816321898,22.4571506219871
"38",37,0.264798842713911,23.0184098452181
"39",38,0.263359450121902,23.5765225272249
"40",39,0.261921150582896,24.1315062340908
"41",40,0.260485178037497,24.683378433835
