"","time","mf","mpuf"
"1",0,0,0
"2",1,0.0141011737233031,0.171640140319285
"3",2,0.0255978780225825,0.342349553561603
"4",3,0.0349570666105405,0.512032809953665
"5",4,0.0425618483706097,0.680696054216287
"6",5,0.0487260890709178,0.848345398921859
"7",6,0.0537060729736383,1.01498691885281
"8",7,0.0577143377278806,1.18062665239394
"9",8,0.0609251735118815,1.34527060207267
"10",9,0.0634813991372556,1.50892473445057
"11",10,0.0655001167175225,1.67159498028227
"12",11,0.0670781228759716,1.83328723477429
"13",12,0.0682949135578721,1.99400735784297
"14",13,0.0692153992056054,2.15376117430313
"15",14,0.0698928145158744,2.31255447405734
"16",15,0.0703710068412329,2.47039301230811
"17",16,0.0706861133600029,2.62728250977593
"18",17,0.0708677846503082,2.78322865290981
"19",18,0.0709402945050734,2.93823709408836
"20",19,0.0709235618953111,3.09231345182034
"21",20,0.0708339798329244,3.24546331094838
"22",21,0.0706850332336726,3.39769222285284
"23",22,0.0704877865228225,3.54900570565275
"24",23,0.0702513094625986,3.69940924440434
"25",24,0.0699830476869037,3.8489082912985
"26",25,0.0696891220157647,3.99750826585786
"27",26,0.0693745612632609,4.14521455513291
"28",27,0.0690434908663193,4.29203251389663
"29",28,0.068699293690646,4.43796746483777
"30",29,0.0683447458618477,4.58302469875292
"31",30,0.0679821267370219,4.7272094747377
"32",31,0.0676133066015774,4.87052702037671
"33",32,0.0672398184865751,5.01298253193242
"34",33,0.0668629184672043,5.15458117453271
"35",34,0.0664836358339975,5.29532808235752
"36",35,0.0661028138684739,5.4352283588242
"37",36,0.0657211428193838,5.57428707677187
"38",37,0.0653391870106588,5.71250927864466
"39",38,0.0649574073899921,5.84989997667378
"40",39,0.064576180152442,5.98646415305859
"41",40,0.064195811929153,6.12220676014651
