"","PCB","k_value","R2"
"1","4",0.586076686799736,0.987770711409435
"2","17",0.2745343257541,0.979445615806039
"3","19",0.0411601619791189,0.767801613541363
"4","28",0.0551412421596282,0.871916701031823
"5","31",0.175636989743499,0.964653727376899
"6","52",0.0886005804920277,0.931817776800023
