"","time","mf","mpuf"
"1",0,0,0
"2",1,0.00800055335446009,0.0548594789073549
"3",2,0.0242242463343567,0.175159522987123
"4",3,0.0423668029875531,0.323814489155228
"5",4,0.0599085401699284,0.484755352195244
"6",5,0.0759422416403093,0.651019154841921
"7",6,0.0902356202929997,0.819588822721838
"8",7,0.102828105153413,0.989157012164915
"9",8,0.113858828598261,1.159157339561
"10",9,0.123494359636272,1.32934427799405
"11",10,0.131899501334549,1.49961158891882
"12",11,0.139226294807665,1.66991304340232
"13",12,0.145610917632946,1.84022877311595
"14",13,0.151173575912227,2.01055009779826
"15",14,0.156019674412363,2.18087322382677
"16",15,0.160241350044924,2.35119660285967
"17",16,0.163918976528444,2.52151953385563
"18",17,0.16712262309921,2.69184163696594
"19",18,0.169913368982565,2.86216277715109
"20",19,0.172344434855765,3.03248294884403
"21",20,0.174462175133371,3.20280213894189
"22",21,0.176306962043953,3.37312031606778
"23",22,0.177913974266679,3.54343746057156
"24",23,0.179313863091014,3.71375357690966
"25",24,0.180533327979873,3.88406867281844
"26",25,0.181595622579241,4.05438274922087
"27",26,0.182521001549839,4.22469580005022
"28",27,0.183327110679177,4.39500782186139
"29",28,0.18402932315162,4.56531881622542
"30",29,0.184641030657422,4.73562878579467
"31",30,0.185173897903597,4.90593773079111
"32",31,0.185638085787437,5.07624564975645
"33",32,0.186042445961864,5.24655254188664
"34",33,0.186394689603714,5.41685840766501
"35",34,0.186701534007117,5.58716324778347
"36",35,0.186968830566426,5.75746706227569
"37",36,0.187201676381737,5.92776985074487
"38",37,0.187404511528813,6.09807161302721
"39",38,0.187581203953759,6.26837234931835
"40",39,0.187735123140448,6.43867205977084
"41",40,0.187869204264772,6.6089707443216
"42",41,0.18798600416332,6.77926840287058
"43",42,0.188087750136633,6.94956503543494
"44",43,0.188176382436128,7.11986064208821
"45",44,0.188253591244005,7.29015522285054
"46",45,0.188320848892046,7.46044877769243
"47",46,0.188379437944962,7.63074130660121
"48",47,0.188430475665931,7.80103280959871
"49",48,0.188474935320633,7.97132328670697
"50",49,0.188513664732745,8.1416127379276
"51",50,0.188547402451532,8.31190116325596
"52",51,0.188576791837787,8.48218856269775
"53",52,0.188602393332745,8.65247493626543
"54",53,0.188624695144266,8.82276028396734
"55",54,0.188644122556339,8.99304460580657
"56",55,0.18866104603964,9.1633279017871
"57",56,0.188675788316561,9.33361017191628
"58",57,0.188688630515045,9.50389141620196
"59",58,0.188699817529273,9.67417163465012
"60",59,0.188709562689812,9.84445082726587
"61",60,0.188718051831935,10.0147289940552
"62",61,0.18872544683937,10.1850061350249
"63",62,0.188731888731194,10.3552822501814
"64",63,0.188737500350978,10.5255573395306
"65",64,0.188742388709439,10.6958314030785
"66",65,0.188746647025117,10.8661044408313
"67",66,0.188750356501964,11.0363764527954
"68",67,0.188753587877822,11.2066474389769
"69",68,0.188756402773374,11.376917399382
"70",69,0.188758854867253,11.5471863340167
"71",70,0.188760990919655,11.7174542428874
"72",71,0.188762851664025,11.8877211260002
"73",72,0.188764472583812,12.0579869833613
"74",73,0.188765884589131,12.2282518149768
"75",74,0.18876711460621,12.3985156208529
"76",75,0.188768186090855,12.5687784009959
