"","time","mf","mpuf"
"1",0,0,0
"2",1,0.00526906896361614,0.163307402887582
"3",2,0.015535849153054,0.514089133976016
"4",3,0.0265542710303943,0.940806701713011
"5",4,0.0368035571012625,1.39827788804201
"6",5,0.0458356858031441,1.86819958377745
"7",6,0.0536109179407496,2.34315763539705
"8",7,0.060232699550743,2.82014839108013
"9",8,0.0658437815948421,3.29795518955605
"10",9,0.0705870608946495,3.77608544703621
"11",10,0.0745921524170681,4.25433921477553
"12",11,0.0779720874851037,4.73263573838421
"13",12,0.0808236976144451,5.21094230600035
"14",13,0.0832292577460432,5.68924546436526
"15",14,0.0852584215525646,6.16754008667572
"16",15,0.0869700256127635,6.64582394420844
"17",16,0.088413745277949,7.12409594204207
"18",17,0.0896315061115548,7.60235580178156
"19",18,0.0906586749999407,8.08060350748346
"20",19,0.0915250743178314,8.55883898860282
"21",20,0.0922558586993754,9.03706216190512
"22",21,0.0928722584660525,9.51527297386348
"23",22,0.0933921849774095,9.99347144960181
"24",23,0.0938307405997157,10.4716576231293
"25",24,0.0942006586655291,10.94983150094
"26",25,0.0945126791506519,11.4279930612632
"27",26,0.0947758636423414,11.90614228941
"28",27,0.0949978568110899,12.3842791887404
"29",28,0.0951851062531902,12.8624037705354
"30",29,0.0953430494035869,13.3405160384037
"31",30,0.0954762725422731,13.8186159879344
"32",31,0.0955886439779392,14.2967036147788
"33",32,0.0956834312230854,14.7747789193517
"34",33,0.0957633908843634,15.2528419053214
"35",34,0.0958308410187339,15.730892573709
"36",35,0.0958877342283629,16.2089309239571
"37",36,0.0959357200901174,16.6869569556338
"38",37,0.0959761928782308,17.1649706690691
"39",38,0.0960103295417434,17.6429720648762
"40",39,0.0960391224063658,18.1209611434999
"41",40,0.0960634079629384,18.5989379051987
"42",41,0.0960838905690926,19.0769023502078
"43",42,0.0961011635093744,19.5548544788309
"44",43,0.0961157306519899,20.0327942914417
"45",44,0.0961280187041343,20.5107217883731
"46",45,0.096138385361289,20.9886369699041
"47",46,0.0961471299822314,21.466539836335
"48",47,0.0961545052889655,21.9444303880087
"49",48,0.0961607258228163,22.4223086252594
"50",49,0.0961659729820792,22.9001745483891
"51",50,0.0961703992214318,23.3780281577009
"52",51,0.0961741327045962,23.8558694535206
"53",52,0.0961772816771917,24.3336984361762
"54",53,0.0961799377157919,24.8115151059823
"55",54,0.0961821781083486,25.289319463249
"56",55,0.0961840679167072,25.7671115082928
"57",56,0.0961856619430295,26.2448912414351
"58",57,0.0961870064488875,26.7226586629948
"59",58,0.0961881405104675,27.2004137732872
"60",59,0.09618909709115,27.6781565726279
"61",60,0.0961899039673717,28.1558870613351
"62",61,0.0961905845552804,28.633605239727
"63",62,0.0961911586154636,29.1113111081208
"64",63,0.0961916428263545,29.5890046668328
"65",64,0.0961920512554057,30.0666859161803
"66",65,0.0961923957625037,30.5443548564808
"67",66,0.0961926863492553,31.0220114880516
"68",67,0.0961929314541271,31.4996558112098
"69",68,0.0961931381968581,31.9772878262723
"70",69,0.0961933125824966,32.4549075335565
"71",70,0.0961934596750268,32.9325149333794
"72",71,0.0961935837455595,33.4101100260583
"73",72,0.0961936883972357,33.8876928119103
"74",73,0.0961937766696253,34.3652632912525
"75",74,0.0961938511264474,34.8428214644019
"76",75,0.0961939139299258,35.3203673316758
