"","time","mf","mpuf"
"1",0,0,0
"2",1,0.667701431804811,5.60115970075733
"3",2,0.650031202879771,11.0569461590175
"4",3,0.632828395117128,16.3681058257457
"5",4,0.616080983464305,21.5384646188806
"6",5,0.599776780224823,26.5717496615145
"7",6,0.583904071317338,31.4715879079387
"8",7,0.568451416603601,36.2415166841132
"9",8,0.5534076771765,40.8849808064015
"10",9,0.538762042518271,45.4053236983244
"11",10,0.524503999876086,49.8057962268483
"12",11,0.510623300523666,54.0895687656032
"13",12,0.49710994878329,58.2597314789181
"14",13,0.483954225092458,62.3192927347002
"15",14,0.471146648783124,66.2711800027039
"16",15,0.4586780349675,70.1182425445689
"17",16,0.446539361393246,73.8632542094677
"18",17,0.434721996745047,77.5089156609746
"19",18,0.423217247582689,81.0578562131155
"20",19,0.41201720113736,84.5126355915999
"21",20,0.401112978650855,87.8757457377846
"22",21,0.390498111680003,91.1496128051417
"23",22,0.380163903897978,94.3365965349036
"24",23,0.370102963969419,97.4389924382602
"25",24,0.360308450740329,100.459039529052
"26",25,0.35077314730375,103.398920277891
"27",26,0.341490183909767,106.260758176624
"28",27,0.332452888441413,109.046619240793
"29",28,0.323654758495096,111.758514217124
"30",29,0.315089464930225,114.398400347157
"31",30,0.306750830044155,116.968188228686
"32",31,0.298632842683317,119.469736942406
"33",32,0.290729681220396,121.904846940765
"34",33,0.283035678479235,124.27527088961
"35",34,0.275545301284862,126.582720039506
"36",35,0.268253155523502,128.828862647492
"37",36,0.261153991284585,131.015322333691
"38",37,0.254242700952626,133.143678710053
"39",38,0.247514313581023,135.215469166624
"40",39,0.240963989394438,137.232190507555
"41",40,0.234587015961677,139.195300108348
