"","time","mf","mpuf"
"1",0,0,0
"2",1,0.210782050907175,1.01648641456806
"3",2,0.262821613358994,2.02874737130633
"4",3,0.274924690583186,3.03620590085097
"5",4,0.276984796598363,4.03888467147245
"6",5,0.276522743746914,5.03680624444595
"7",6,0.275430203065683,6.02999307455638
"8",7,0.274183984876695,7.018467510601
"9",8,0.272903147905836,8.00225179588969
"10",9,0.27161865739994,8.98136806874283
"11",10,0.270337440978893,9.95583836298693
"12",11,0.269061466450333,10.9256846084477
"13",12,0.26779173659072,11.8909286314412
"14",13,0.266527928625095,12.8515921552622
"15",14,0.265269856083989,13.8076968006703
"16",15,0.264017663366336,14.7592640863792
"17",16,0.262771496887555,15.7063154295543
"18",17,0.261531289424392,16.6488721462538
"19",18,0.260296905189303,17.5869554518962
"20",19,0.25906829246051,18.5205864617615
"21",20,0.257845464591643,19.4497861914332
"22",21,0.256628422384575,20.3745755573238
"23",22,0.255417131176924,21.2949753771906
"24",23,0.254211548563938,22.2110063705415
"25",24,0.253011652851604,23.1226891590365
"26",25,0.251817428057625,24.0300442669677
"27",26,0.250628842777713,24.9330921217692
"28",27,0.249445863159014,25.8318530544956
"29",28,0.248268464718477,26.726347300224
"30",29,0.247096624509801,27.6165949984905
"31",30,0.245930317024618,28.5026161937725
"32",31,0.244769514994985,29.3844308317488
"33",32,0.243614191702538,30.2620587620713
"34",33,0.242464321318927,31.1355197503055
"35",34,0.241319878300342,32.0048334695839
"36",35,0.240180837169943,32.8700194979726
"37",36,0.239047172440595,33.7310973195348
"38",37,0.237918858694441,34.5880863257407
"39",38,0.236795870643137,35.4410058164463
"40",39,0.235678183121739,36.2898750137813
"41",40,0.234565771115552,37.1347130375683
